job_title,industry,company_size,location,ai_adoption_level,automation_risk,required_skills,salary_usd,remote_friendly,job_growth_projection
Data Scientist,Entertainment,Small,Tokyo,Low,Medium,Project Management,96384.7902040888,Yes,Decline
Data Scientist,Transportation,Small,New York,High,Medium,Python,61033.05481145457,No,Stable
Sales Manager,Manufacturing,Small,London,Low,High,Cybersecurity,88410.9021845624,Yes,Growth
Product Manager,Telecommunications,Small,Paris,Medium,Low,Project Management,83940.88924031366,No,Stable
HR Manager,Transportation,Small,Dubai,High,High,Data Analysis,86601.06496896283,No,Stable
Operations Manager,Entertainment,Small,Berlin,Medium,Medium,JavaScript,110221.52915102156,No,Stable
Sales Manager,Technology,Large,Toronto,High,High,Project Management,50216.99766476808,No,Growth
AI Researcher,Transportation,Medium,Paris,Low,Low,Python,140298.37964910315,Yes,Decline
Data Scientist,Education,Small,San Francisco,High,Low,Project Management,100129.58968441431,Yes,Growth
Sales Manager,Telecommunications,Large,Toronto,Medium,High,Data Analysis,107056.82349386544,No,Stable
HR Manager,Entertainment,Large,Tokyo,Low,Medium,Cybersecurity,70897.03542004264,Yes,Stable
Data Scientist,Technology,Large,Tokyo,High,Medium,Sales,90591.82214937158,No,Decline
Marketing Specialist,Retail,Medium,Sydney,High,High,UX/UI Design,70541.08081377904,No,Growth
Sales Manager,Entertainment,Small,Singapore,High,High,Cybersecurity,82037.21412759706,No,Stable
Cybersecurity Analyst,Retail,Large,Sydney,Medium,Medium,Communication,76744.30397016529,Yes,Decline
Data Scientist,Telecommunications,Medium,Dubai,Medium,Low,Project Management,90073.90538089433,No,Stable
HR Manager,Finance,Medium,Toronto,High,Low,Machine Learning,50462.48930972422,No,Decline
Software Engineer,Entertainment,Medium,Singapore,Low,Low,Marketing,71307.09820419611,Yes,Decline
Operations Manager,Healthcare,Large,Berlin,Low,Low,Machine Learning,103526.20119995158,Yes,Growth
UX Designer,Retail,Small,San Francisco,Medium,Medium,Cybersecurity,62252.91652187712,Yes,Stable
Product Manager,Education,Large,Toronto,Low,High,Machine Learning,110181.30592094656,Yes,Growth
UX Designer,Healthcare,Large,Sydney,Medium,High,Python,61291.41064693853,No,Stable
HR Manager,Energy,Small,New York,High,Medium,Machine Learning,46369.64004553371,Yes,Growth
AI Researcher,Energy,Small,Singapore,Medium,Low,JavaScript,131945.49775113165,No,Stable
AI Researcher,Technology,Small,Singapore,Medium,Low,Sales,106527.53717933195,Yes,Growth
Software Engineer,Finance,Medium,San Francisco,High,Medium,Project Management,75332.65422472931,Yes,Decline
Product Manager,Telecommunications,Small,London,Low,Medium,Machine Learning,114751.44094968236,Yes,Stable
Cybersecurity Analyst,Entertainment,Large,Tokyo,Medium,High,Data Analysis,66782.59080556972,Yes,Stable
Software Engineer,Manufacturing,Small,Tokyo,Medium,High,Sales,83294.8757492877,Yes,Decline
UX Designer,Education,Large,New York,High,High,Sales,64189.632999284164,Yes,Growth
Software Engineer,Retail,Medium,Dubai,Low,High,Machine Learning,94018.51430874206,No,Stable
UX Designer,Telecommunications,Large,Dubai,Medium,Low,Sales,82103.06730964044,Yes,Stable
Data Scientist,Healthcare,Large,Berlin,High,Medium,Marketing,105276.78008497784,Yes,Growth
AI Researcher,Energy,Small,Toronto,Medium,Low,Machine Learning,112792.507068392,Yes,Decline
Data Scientist,Education,Small,Paris,High,Low,Python,109467.4500805192,Yes,Growth
Operations Manager,Manufacturing,Large,London,Low,Low,Cybersecurity,116713.11794289124,No,Growth
Product Manager,Entertainment,Small,Sydney,Low,High,JavaScript,89454.20120720599,Yes,Growth
Cybersecurity Analyst,Technology,Medium,Paris,Low,Low,UX/UI Design,84654.87771153946,Yes,Stable
UX Designer,Manufacturing,Medium,Paris,Low,High,Communication,72763.4051533598,Yes,Decline
Cybersecurity Analyst,Education,Small,Singapore,Medium,High,Sales,90774.54040739224,Yes,Decline
UX Designer,Manufacturing,Medium,New York,Medium,Medium,Python,38245.81152164402,No,Growth
HR Manager,Education,Small,Tokyo,Low,High,Project Management,79786.61600794963,Yes,Stable
Software Engineer,Education,Large,Berlin,Low,High,Project Management,53064.75182472472,No,Growth
Operations Manager,Transportation,Large,Dubai,Low,Medium,Communication,97489.6129281689,Yes,Stable
AI Researcher,Retail,Medium,New York,Medium,Low,JavaScript,104057.14551186866,No,Stable
UX Designer,Energy,Small,Singapore,Low,Medium,Sales,65737.49608372692,No,Stable
Cybersecurity Analyst,Transportation,Small,Sydney,Low,High,Marketing,97811.87812398472,Yes,Stable
Operations Manager,Entertainment,Medium,Berlin,Low,Low,Communication,139078.06691887142,Yes,Decline
Marketing Specialist,Transportation,Large,Singapore,High,High,JavaScript,84854.99923573848,No,Stable
Marketing Specialist,Finance,Medium,Tokyo,Low,High,Sales,97295.97619484668,No,Stable
Data Scientist,Finance,Large,Tokyo,High,Medium,Python,137434.9563738785,Yes,Growth
AI Researcher,Energy,Small,Tokyo,High,Low,Cybersecurity,129785.1183399889,No,Growth
HR Manager,Manufacturing,Large,New York,Low,High,Marketing,80713.796005344,No,Decline
Cybersecurity Analyst,Retail,Medium,New York,High,Low,UX/UI Design,68665.57782347569,No,Growth
Software Engineer,Energy,Small,Dubai,Low,High,Project Management,77667.40135199211,Yes,Stable
Software Engineer,Education,Medium,Dubai,Medium,High,Data Analysis,65538.24540728275,No,Growth
Cybersecurity Analyst,Healthcare,Medium,Sydney,Medium,Low,Python,81978.82299751228,No,Decline
Product Manager,Retail,Large,Berlin,Medium,High,Project Management,127413.26752384935,No,Growth
HR Manager,Retail,Medium,San Francisco,Medium,Low,Machine Learning,77292.4301839998,Yes,Growth
Operations Manager,Education,Large,San Francisco,High,Medium,Data Analysis,72482.00844567783,Yes,Decline
UX Designer,Education,Small,Singapore,Low,High,Project Management,92490.66909382609,No,Decline
Product Manager,Technology,Large,Tokyo,Low,Medium,JavaScript,109105.50952474898,Yes,Stable
UX Designer,Energy,Small,Berlin,Low,High,Marketing,85153.06985200792,No,Growth
UX Designer,Education,Large,Paris,Medium,High,Project Management,24877.395937952104,Yes,Stable
Product Manager,Finance,Medium,New York,Medium,Low,UX/UI Design,128973.41915442972,Yes,Growth
Data Scientist,Entertainment,Large,Toronto,Low,High,Cybersecurity,88829.70515812226,No,Growth
Marketing Specialist,Healthcare,Large,London,Medium,High,JavaScript,85559.0954558551,Yes,Stable
UX Designer,Energy,Small,Sydney,Low,High,Python,115475.99581234064,Yes,Growth
Product Manager,Telecommunications,Medium,Tokyo,Low,Low,Python,133106.65496381235,Yes,Growth
Product Manager,Finance,Large,Tokyo,Low,High,Python,70448.75749054627,No,Growth
Sales Manager,Manufacturing,Medium,Tokyo,Low,Low,Python,51109.65325995454,Yes,Decline
Data Scientist,Education,Large,New York,Low,High,Cybersecurity,128606.93197695856,Yes,Stable
AI Researcher,Telecommunications,Large,New York,Low,Low,Project Management,122841.11623188,No,Decline
Sales Manager,Education,Medium,London,Low,High,Sales,69982.3711739584,Yes,Stable
Sales Manager,Retail,Large,Paris,Medium,Medium,Project Management,92424.37093878096,Yes,Stable
Cybersecurity Analyst,Finance,Medium,Berlin,Low,Low,Machine Learning,86742.40845081118,Yes,Growth
Marketing Specialist,Retail,Large,Tokyo,Low,High,Marketing,84026.48274097488,Yes,Stable
Product Manager,Technology,Small,San Francisco,Medium,Medium,Data Analysis,91339.63615637466,Yes,Decline
Marketing Specialist,Retail,Medium,Dubai,Medium,High,Sales,84447.75856656334,No,Decline
HR Manager,Technology,Large,San Francisco,Medium,High,Sales,57109.34621727222,No,Decline
Cybersecurity Analyst,Technology,Large,Singapore,Low,High,Project Management,118489.24026265267,Yes,Stable
AI Researcher,Telecommunications,Small,San Francisco,High,Low,Sales,133952.46741464877,Yes,Decline
Marketing Specialist,Education,Medium,Singapore,High,High,Communication,82925.94738807144,Yes,Stable
Software Engineer,Manufacturing,Large,Toronto,Medium,Low,Communication,57646.60145976013,No,Decline
UX Designer,Retail,Small,Dubai,High,High,Machine Learning,98992.64833288494,No,Decline
HR Manager,Finance,Large,San Francisco,Medium,High,Data Analysis,74725.67801267463,Yes,Stable
Data Scientist,Technology,Medium,Toronto,Low,Low,UX/UI Design,114560.97724859684,Yes,Decline
AI Researcher,Education,Large,Sydney,High,Low,Cybersecurity,113543.51072506783,No,Growth
HR Manager,Healthcare,Large,Berlin,Low,High,Project Management,80217.78129364197,Yes,Stable
UX Designer,Energy,Large,Toronto,High,High,Cybersecurity,70942.54704238808,No,Stable
Cybersecurity Analyst,Telecommunications,Large,Berlin,Low,Medium,UX/UI Design,33601.38135993158,No,Stable
UX Designer,Manufacturing,Small,San Francisco,High,Low,Project Management,76648.96249309662,Yes,Growth
Sales Manager,Transportation,Small,Paris,Low,High,Project Management,119306.82923444168,No,Stable
UX Designer,Telecommunications,Medium,Toronto,Low,High,Data Analysis,75795.60517983914,Yes,Decline
Sales Manager,Healthcare,Small,Dubai,High,Medium,Cybersecurity,60845.83502220524,Yes,Decline
Cybersecurity Analyst,Energy,Small,San Francisco,Low,Low,Communication,102999.23132307774,Yes,Decline
Operations Manager,Healthcare,Medium,Tokyo,Low,Low,Python,111189.61060346678,Yes,Stable
Sales Manager,Retail,Small,New York,Low,High,Cybersecurity,90249.33032380774,Yes,Decline
Data Scientist,Technology,Small,Toronto,High,Medium,Marketing,98517.45787139912,Yes,Stable
UX Designer,Manufacturing,Medium,Dubai,High,High,Marketing,60157.01548352139,No,Decline
UX Designer,Entertainment,Medium,Sydney,Low,Low,Project Management,60073.80489266386,No,Growth
Data Scientist,Technology,Medium,Tokyo,Low,Low,Python,113955.53802022424,No,Growth
Software Engineer,Entertainment,Large,Sydney,High,High,JavaScript,51857.52009880744,No,Growth
Product Manager,Energy,Large,San Francisco,High,Medium,UX/UI Design,82562.53678289187,Yes,Growth
Operations Manager,Education,Medium,New York,Low,High,Machine Learning,121912.19646021895,No,Stable
AI Researcher,Transportation,Medium,Toronto,Low,Low,Python,152683.90533154353,No,Decline
Sales Manager,Finance,Medium,Toronto,Low,Medium,Machine Learning,50437.05824396676,No,Growth
Data Scientist,Technology,Large,Paris,Medium,Medium,Cybersecurity,77371.72777472783,Yes,Stable
Cybersecurity Analyst,Manufacturing,Large,Paris,High,Medium,Cybersecurity,84587.58840944126,No,Growth
Sales Manager,Healthcare,Small,San Francisco,Medium,High,Machine Learning,97851.79034228704,Yes,Growth
Product Manager,Manufacturing,Small,San Francisco,High,Medium,UX/UI Design,53450.51291894019,No,Stable
Cybersecurity Analyst,Energy,Medium,New York,High,Medium,Python,88903.82730165044,Yes,Stable
HR Manager,Entertainment,Large,Paris,High,Medium,JavaScript,65516.416868407105,Yes,Decline
UX Designer,Healthcare,Large,Dubai,High,Medium,Project Management,91519.29348570466,No,Decline
HR Manager,Finance,Large,Dubai,High,High,Data Analysis,41461.83052061491,Yes,Growth
Sales Manager,Finance,Medium,New York,High,Medium,Cybersecurity,81850.81230987245,Yes,Growth
Product Manager,Technology,Small,Dubai,High,Low,Marketing,82127.81125302812,No,Decline
Operations Manager,Energy,Medium,Singapore,Medium,High,UX/UI Design,119395.97852554575,No,Decline
Sales Manager,Education,Small,Berlin,Low,High,Data Analysis,91953.052927065,No,Stable
Data Scientist,Energy,Small,New York,Low,Low,JavaScript,88283.6868148453,Yes,Decline
Marketing Specialist,Entertainment,Medium,New York,Medium,High,Sales,87067.72886658164,Yes,Decline
Sales Manager,Manufacturing,Small,London,Medium,High,Project Management,72223.42293382852,Yes,Growth
UX Designer,Finance,Small,Tokyo,Medium,Medium,Cybersecurity,84986.59422479507,No,Decline
UX Designer,Manufacturing,Large,Tokyo,Medium,High,Project Management,60258.46018228843,Yes,Growth
Sales Manager,Manufacturing,Small,Singapore,High,Medium,Data Analysis,101093.33157537528,Yes,Decline
Cybersecurity Analyst,Manufacturing,Medium,Paris,Low,Low,Project Management,98721.639102545,Yes,Stable
Marketing Specialist,Finance,Medium,San Francisco,High,High,Sales,135209.82161382848,Yes,Decline
Data Scientist,Telecommunications,Small,San Francisco,Low,Medium,Data Analysis,98942.07989167991,Yes,Decline
Sales Manager,Retail,Large,Sydney,Low,Low,Cybersecurity,87657.24583242898,Yes,Decline
Cybersecurity Analyst,Entertainment,Large,Singapore,Medium,Low,Python,80411.50516568137,Yes,Growth
UX Designer,Telecommunications,Small,New York,High,High,Marketing,65053.706815095575,No,Stable
UX Designer,Entertainment,Small,Singapore,Medium,Medium,Data Analysis,10963.29731701118,No,Decline
Product Manager,Healthcare,Medium,Singapore,High,High,Communication,99311.68033082064,No,Growth
Sales Manager,Energy,Small,Singapore,Low,High,Sales,106857.48425898825,Yes,Stable
Marketing Specialist,Energy,Large,Tokyo,Medium,High,Data Analysis,77932.60009198709,Yes,Growth
Software Engineer,Transportation,Small,Singapore,Medium,High,Data Analysis,53722.77084045245,No,Growth
Marketing Specialist,Energy,Medium,Berlin,Low,High,Communication,53964.25694581997,Yes,Stable
UX Designer,Finance,Medium,San Francisco,Low,Low,Cybersecurity,16396.157456874593,No,Decline
UX Designer,Education,Medium,Sydney,Low,Low,Data Analysis,84578.48013730848,Yes,Growth
HR Manager,Technology,Medium,Berlin,Medium,High,Marketing,54869.7341458084,Yes,Growth
UX Designer,Transportation,Medium,Sydney,High,High,Project Management,64425.82819575544,No,Decline
Data Scientist,Technology,Small,London,Medium,High,Cybersecurity,96925.2485534556,No,Decline
AI Researcher,Entertainment,Small,Sydney,High,Low,Marketing,149754.5407131653,No,Stable
Sales Manager,Technology,Small,San Francisco,Medium,High,Cybersecurity,81705.62635931476,No,Stable
Marketing Specialist,Technology,Small,San Francisco,Medium,Medium,Marketing,86177.8584021202,No,Stable
AI Researcher,Transportation,Medium,Singapore,Low,Low,Sales,130929.27528295324,Yes,Decline
Cybersecurity Analyst,Healthcare,Large,Toronto,High,High,Marketing,117188.22839922798,Yes,Growth
Software Engineer,Manufacturing,Small,London,Medium,High,Machine Learning,75217.52610994082,Yes,Growth
Data Scientist,Energy,Large,New York,Medium,High,Marketing,137392.30661009034,No,Stable
Marketing Specialist,Energy,Small,Dubai,Low,High,Python,30286.7568720137,No,Decline
AI Researcher,Finance,Small,Sydney,Low,Low,Python,137149.46996002473,No,Growth
Software Engineer,Transportation,Large,Toronto,High,High,UX/UI Design,62667.60782671736,No,Stable
HR Manager,Finance,Medium,Singapore,Medium,High,Machine Learning,65145.00894440095,No,Growth
Data Scientist,Education,Small,Tokyo,High,High,Machine Learning,111388.28533802072,No,Growth
Data Scientist,Education,Small,New York,Medium,High,Project Management,111228.04099695486,Yes,Decline
HR Manager,Finance,Small,Paris,High,Medium,Machine Learning,87128.56027380144,Yes,Decline
Sales Manager,Transportation,Large,Toronto,Low,High,Project Management,52276.84111789524,Yes,Growth
HR Manager,Finance,Medium,Tokyo,Medium,Low,UX/UI Design,103980.6046255848,Yes,Stable
Data Scientist,Energy,Large,London,High,Low,UX/UI Design,81987.05763544649,Yes,Decline
Data Scientist,Telecommunications,Large,Singapore,Low,Low,Sales,84654.25819549602,No,Growth
AI Researcher,Retail,Medium,New York,Low,Low,Python,132757.93476333655,No,Decline
UX Designer,Technology,Large,New York,High,High,Marketing,59265.57650477519,No,Decline
Software Engineer,Retail,Medium,New York,Medium,High,Marketing,86165.21681124983,No,Decline
HR Manager,Transportation,Small,London,Medium,Low,Communication,31867.986067344238,No,Growth
Software Engineer,Retail,Medium,Sydney,Low,High,Communication,85686.48899038463,No,Stable
HR Manager,Education,Small,Paris,Medium,High,JavaScript,79356.6375902443,Yes,Stable
Cybersecurity Analyst,Entertainment,Large,London,Medium,Low,Cybersecurity,79802.82924471433,No,Stable
Data Scientist,Technology,Large,Dubai,Medium,High,Sales,58518.48080470421,No,Decline
UX Designer,Manufacturing,Small,Paris,Low,Medium,JavaScript,60743.8347703679,No,Growth
AI Researcher,Transportation,Large,San Francisco,High,Low,JavaScript,119252.52280402774,No,Decline
UX Designer,Technology,Medium,Singapore,Medium,High,Data Analysis,57655.420193390106,Yes,Stable
UX Designer,Retail,Small,London,Low,High,Data Analysis,28276.51071135004,Yes,Stable
UX Designer,Education,Large,Tokyo,Low,Low,JavaScript,96894.68014633832,No,Growth
Software Engineer,Healthcare,Small,Paris,High,High,Machine Learning,67222.76944111254,Yes,Decline
HR Manager,Telecommunications,Medium,Dubai,Medium,High,Cybersecurity,70555.90674154198,Yes,Stable
Operations Manager,Manufacturing,Medium,San Francisco,Medium,High,Sales,41810.51357563419,No,Growth
Cybersecurity Analyst,Telecommunications,Large,Sydney,High,High,JavaScript,121897.10697396414,No,Decline
Marketing Specialist,Technology,Medium,Tokyo,High,High,Marketing,60669.00136531888,No,Decline
UX Designer,Education,Small,Paris,Low,High,Cybersecurity,66969.25634148406,No,Stable
Sales Manager,Education,Medium,Singapore,Low,High,Data Analysis,102414.74889633304,No,Stable
Software Engineer,Retail,Small,Tokyo,High,High,Marketing,66473.91590566748,Yes,Decline
AI Researcher,Energy,Small,San Francisco,Medium,Low,Data Analysis,139264.89974773087,No,Decline
Marketing Specialist,Retail,Medium,Tokyo,Low,High,Data Analysis,28773.490881177167,No,Stable
Operations Manager,Energy,Large,Berlin,Low,High,Cybersecurity,101019.73315142626,No,Decline
Sales Manager,Energy,Medium,Toronto,Medium,High,Data Analysis,111444.84333039304,Yes,Stable
Operations Manager,Manufacturing,Small,Sydney,Low,Medium,UX/UI Design,78391.66305563941,No,Decline
Marketing Specialist,Retail,Small,San Francisco,Medium,High,Python,92377.63240596798,No,Stable
UX Designer,Healthcare,Medium,Tokyo,Medium,High,UX/UI Design,101678.45304387566,No,Growth
Sales Manager,Finance,Large,Toronto,Medium,High,Python,74903.16323891962,Yes,Stable
Operations Manager,Finance,Large,Toronto,High,Low,Communication,83249.43428300279,No,Stable
AI Researcher,Retail,Small,Tokyo,High,Low,Communication,102034.12508335392,No,Growth
HR Manager,Retail,Small,Singapore,High,Medium,Data Analysis,64805.39689629733,No,Decline
Data Scientist,Telecommunications,Large,Berlin,Medium,Medium,Sales,83692.80219454759,Yes,Growth
HR Manager,Manufacturing,Medium,London,Medium,Medium,Sales,57017.778031455455,No,Stable
Marketing Specialist,Retail,Small,Berlin,High,High,Python,93976.70593422712,No,Decline
Software Engineer,Telecommunications,Small,Tokyo,Low,High,Marketing,64201.47949423481,No,Growth
Data Scientist,Energy,Large,Sydney,Medium,Low,Cybersecurity,105170.43829439246,Yes,Decline
Cybersecurity Analyst,Education,Medium,London,Low,High,Data Analysis,90764.66870432477,No,Decline
AI Researcher,Education,Large,San Francisco,Low,Low,Cybersecurity,149961.89125142244,No,Growth
Cybersecurity Analyst,Energy,Medium,Berlin,Medium,High,UX/UI Design,79936.87535889974,No,Decline
Sales Manager,Transportation,Medium,Tokyo,Medium,Low,Sales,87622.96093308643,Yes,Growth
Data Scientist,Telecommunications,Medium,Berlin,Low,Medium,Machine Learning,115821.3940455222,Yes,Stable
Cybersecurity Analyst,Telecommunications,Small,London,Low,High,UX/UI Design,119794.99214641162,No,Decline
Cybersecurity Analyst,Energy,Large,Dubai,High,Low,UX/UI Design,79644.93309909466,Yes,Stable
Operations Manager,Healthcare,Large,Paris,High,Low,Python,77642.1506253524,Yes,Stable
HR Manager,Entertainment,Medium,Berlin,Medium,High,Project Management,53764.37892079895,Yes,Decline
